"ID","Area","ZCTA5CE00","CLASSFP00","MTFCC00","FUNCSTAT00","Group.1","ideal_point","ideal_point_se"
207,54.654026,"24070","B5","G6350","S",,,
208,28.474936,"22734","B5","G6350","S",22734,1.082828,0.482314
209,8.701933,"22741","B5","G6350","S",22741,-1.112834,0.702127
210,52.448936,"20106","B5","G6350","S",20106,1.332016,0.641363
211,77.409286,"22740","B5","G6350","S",22740,-0.109470,0.856778
212,23.111275,"22714","B5","G6350","S",,,
213,159.558411,"22701","B5","G6350","S",22701,0.192624,0.565663
214,48.959084,"22733","B5","G6350","S",22733,-1.344241,0.575761
215,28.334372,"22718","B5","G6350","S",,,
216,39.525181,"22737","B5","G6350","S",22737,1.022557,0.658343
217,21.557652,"22726","B5","G6350","S",22726,-0.718774,0.567330
218,21.101400,"22736","B5","G6350","S",,,
219,23.571825,"22724","B5","G6350","S",22724,1.827563,0.483925
220,38.949306,"22735","B5","G6350","S",22735,2.182527,0.456475
221,4.140480,"22729","B5","G6350","S",22729,2.151597,0.431736
222,61.843941,"20186","B5","G6350","S",20186,0.257853,0.543291
223,5.415611,"22746","B5","G6350","S",22746,2.114925,0.471012
224,22.877811,"22713","B5","G6350","S",22713,-1.963264,0.427000
225,36.409153,"24226","B5","G6350","S",24226,0.633122,1.058076
226,16.905039,"24272","B5","G6350","S",,,
227,18.025789,"24220","B5","G6350","S",,,
228,129.320114,"24230","B5","G6350","S",24230,0.917442,0.641310
229,36.230156,"24237","B5","G6350","S",24237,-0.946266,0.767929
230,68.215492,"24225","B5","G6350","S",24225,0.124252,0.858838
231,10.276976,"24607","B5","G6350","S",,,
232,49.023106,"24256","B5","G6350","S",24256,-0.857491,0.761827
233,1.774617,"242HH","B5","G6350","S",,,
234,23.945242,"24283","B5","G6350","S",24283,0.741247,0.610010
235,2.960861,"24269","B5","G6350","S",,,
236,29.873249,"24217","B5","G6350","S",24217,0.670369,0.889114
237,94.588310,"24228","B5","G6350","S",24228,-0.688966,0.694975
238,142.954712,"24333","B5","G6350","S",24333,0.044794,0.646606
239,33.128300,"24328","B5","G6350","S",24328,-0.205189,0.505001
240,40.383057,"24312","B5","G6350","S",24312,1.287493,0.714115
241,88.033295,"24380","B5","G6350","S",24380,0.423739,0.419607
242,41.761787,"24317","B5","G6350","S",24317,-0.399059,0.628424
243,9.060205,"243HH","B5","G6350","S",,,
244,48.446972,"24381","B5","G6350","S",24381,-0.226592,0.760664
245,22.014776,"24105","B5","G6350","S",24105,1.834432,0.469342
246,45.663124,"24325","B5","G6350","S",,,
247,62.015846,"24120","B5","G6350","S",24120,-0.142737,0.623467
248,40.980846,"24330","B5","G6350","S",24330,0.642276,0.937729
249,44.467941,"24350","B5","G6350","S",24350,-0.190282,0.409780
250,80.263901,"24347","B5","G6350","S",24347,0.762308,0.692568
251,61.717854,"24053","B5","G6350","S",24053,0.444287,0.605965
252,31.380241,"24352","B5","G6350","S",24352,-0.373357,0.284552
253,128.313919,"24343","B5","G6350","S",24343,-0.217328,0.618579
254,11.919555,"24351","B5","G6350","S",24351,1.234452,0.489915
255,94.878731,"24121","B5","G6350","S",24121,0.618165,0.552566
256,45.485447,"24571","B5","G6350","S",24571,1.311897,0.727721
257,25.137024,"24095","B5","G6350","S",24095,0.707663,0.409957
258,68.128471,"24551","B5","G6350","S",24551,0.706197,0.624145
259,33.161823,"24174","B5","G6350","S",24174,-1.077435,0.542820
260,29.781048,"24064","B5","G6350","S",24064,0.940257,0.526054
261,0.304212,"24448","B5","G6350","S",24448,1.166667,0.760284
262,118.394264,"24153","B5","G6350","S",24153,0.318246,0.604493
263,96.160255,"24090","B5","G6350","S",24090,0.217213,0.881295
264,81.528343,"24175","B5","G6350","S",24175,0.933599,0.537413
265,23.440458,"24019","B5","G6350","S",24019,0.490383,0.642175
266,8.587455,"240HH","B5","G6350","S",,,
267,9.000511,"24083","B5","G6350","S",24083,0.070463,0.503284
268,76.455734,"24422","B5","G6350","S",24422,-0.805925,0.689787
269,178.631012,"24085","B5","G6350","S",24085,1.338049,0.629631
270,19.480400,"24012","B5","G6350","S",24012,0.157911,0.635426
271,1.054188,"24077","B5","G6350","S",24077,-0.668154,0.651215
272,150.559814,"24066","B5","G6350","S",24066,0.110396,0.559256
273,37.016106,"241HH","B5","G6350","S",,,
274,43.590439,"23850","B5","G6350","S",,,
275,60.093807,"23833","B5","G6350","S",,,
276,56.205219,"23966","B5","G6350","S",23966,0.408208,0.290984
277,255.888657,"23002","B5","G6350","S",23002,-0.003743,0.664860
278,60.700584,"23083","B5","G6350","S",23083,-0.416336,1.004044
279,2.356240,"22302","B5","G6350","S",22302,-0.975549,0.582832
280,1.247657,"22301","B5","G6350","S",22301,-0.786517,0.617811
281,1.534597,"22305","B5","G6350","S",22305,-0.758585,0.652628
282,2.245751,"22206","B5","G6350","S",22206,-0.728970,0.606521
283,5.052239,"22312","B5","G6350","S",22312,0.352938,0.641243
284,4.047882,"22314","B5","G6350","S",22314,-0.474855,0.636197
285,1.454292,"22311","B5","G6350","S",22311,-0.634003,0.618714
286,4.499294,"22304","B5","G6350","S",22304,-0.463106,0.619763
287,105.375465,"23930","B5","G6350","S",23930,0.067869,0.593079
288,67.772148,"23922","B5","G6350","S",23922,-0.955050,0.344805
289,0.003755,"238XX","B5","G6350","S",,,
290,0.450236,"23304","B5","G6350","S",23304,0.735879,0.863138
291,108.885231,"23430","B5","G6350","S",23430,0.095420,0.598726
292,27.181047,"23315","B5","G6350","S",,,
293,19.683071,"23314","B5","G6350","S",23314,0.676512,0.471257
294,52.185314,"23898","B5","G6350","S",23898,-0.948465,0.454952
295,92.432060,"23487","B5","G6350","S",23487,-0.473410,0.693061
296,115.789131,"23851","B5","G6350","S",23851,0.006499,0.628268
297,79.065186,"23866","B5","G6350","S",23866,0.724410,0.754990
298,208.043182,"23093","B5","G6350","S",23093,0.262869,0.736491
299,119.681511,"22942","B5","G6350","S",22942,-0.703491,0.638380
300,39.496525,"23084","B5","G6350","S",23084,0.246743,0.513777
301,21.796421,"23065","B5","G6350","S",,,
302,35.129932,"22974","B5","G6350","S",22974,-0.733388,0.516923
303,82.054367,"230HH","B5","G6350","S",,,
304,50.271835,"231HH","B5","G6350","S",,,
305,50.248985,"22947","B5","G6350","S",22947,-0.053301,0.906797
306,137.550323,"23117","B5","G6350","S",23117,0.086578,0.677006
307,32.142200,"23968","B5","G6350","S",,,
308,35.712093,"23915","B5","G6350","S",,,
309,70.370529,"23927","B5","G6350","S",23927,-0.711491,0.609250
310,26.790949,"24580","B5","G6350","S",,,
311,32.451458,"24529","B5","G6350","S",24529,0.116772,0.485119
312,113.335594,"23917","B5","G6350","S",23917,-0.631793,0.751773
313,143.896820,"23882","B5","G6350","S",23882,-1.151242,0.673649
314,54.401752,"23830","B5","G6350","S",,,
315,62.676704,"23897","B5","G6350","S",,,
316,93.333199,"23867","B5","G6350","S",23867,0.256227,0.560778
317,3.233917,"23943","B5","G6350","S",,,
318,192.498428,"23901","B5","G6350","S",23901,0.062501,0.664441
319,41.548458,"23960","B5","G6350","S",23960,-0.518194,0.575365
320,50.422878,"23113","B5","G6350","S",23113,0.148450,0.545614
321,66.112244,"23120","B5","G6350","S",23120,0.149479,0.560917
322,244.595428,"23139","B5","G6350","S",23139,0.591686,0.625547
323,75.925018,"23803","B5","G6350","S",23803,-0.457678,0.623525
324,71.443977,"23805","B5","G6350","S",23805,-0.683227,0.580214
325,66.922928,"23457","B5","G6350","S",23457,-0.554702,0.700471
326,15.207085,"23455","B5","G6350","S",23455,0.200560,0.578968
327,2.148922,"23521","B5","G6350","S",,,
328,17.578535,"23464","B5","G6350","S",23464,0.444970,0.607311
329,14.828988,"23452","B5","G6350","S",23452,-0.179219,0.575987
330,30.834192,"23454","B5","G6350","S",23454,-0.009255,0.622069
331,11.890143,"23462","B5","G6350","S",23462,0.025745,0.571119
332,17.021624,"23451","B5","G6350","S",23451,0.095896,0.607119
333,71.261208,"23456","B5","G6350","S",23456,0.715663,0.572765
334,11.392215,"235HH","B5","G6350","S",,,
335,1.735362,"23461","B5","G6350","S",,,
336,2.241355,"23459","B5","G6350","S",,,
337,57.977165,"22407","B5","G6350","S",22407,0.375811,0.596368
