SAGDP4N Compensation of employees 1/,,,,,,,,
(Thousands of dollars) ,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,
State or DC,,,,,,,,
GeoFips,GeoName,LineCode,Description,2003,2004,2005,2006,2007
5000,Arkansas,6,"    Mining, quarrying, and oil and gas extraction",178386,203133,227512,309994,440326
5000,Arkansas,7,      Oil and gas extraction,22645,24018,26408,32107,55364
5000,Arkansas,8,      Mining (except oil and gas),92632,101896,102810,113117,117403
5000,Arkansas,9,      Support activities for mining,63109,77219,98294,164771,267559
5000,Arkansas,10,    Utilities,523173,552354,569813,610860,644457
5000,Arkansas,11,    Construction,1939150,2052599,2253669,2412623,2536777
5000,Arkansas,12,    Manufacturing,8529321,8804185,8981538,9071572,9010731
5000,Arkansas,13,      Durable goods manufacturing,4675877,4824088,4964662,5071368,4998088
5000,Arkansas,14,        Wood product manufacturing,522024,533838,549513,556872,512968
5000,Arkansas,15,        Nonmetallic mineral product manufacturing,199210,195647,214548,228212,229508
5000,Arkansas,16,        Primary metal manufacturing,439663,475906,493226,547817,571563
5000,Arkansas,17,        Fabricated metal product manufacturing,761786,788963,826796,844027,856571
5000,Arkansas,18,        Machinery manufacturing,598455,610564,631600,671300,655983
5000,Arkansas,19,        Computer and electronic product manufacturing,259286,276945,266718,258984,224017
5000,Arkansas,20,"        Electrical equipment, appliance, and component manufacturing",640367,664801,689855,656292,611080
5000,Arkansas,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),451030
5000,Arkansas,22,        Other transportation equipment manufacturing,(D),(D),(D),(D),408575
5000,Arkansas,23,        Furniture and related product manufacturing,297042,277828,253187,244161,233875
5000,Arkansas,24,        Miscellaneous manufacturing,269047,265126,254821,246427,242918
5000,Arkansas,25,      Nondurable goods manufacturing,3853444,3980098,4016876,4000204,4012643
5000,Arkansas,26,        Food and beverage and tobacco products manufacturing,1760013,1842740,1852351,1859788,1898151
5000,Arkansas,27,        Textile mills and textile product mills,84457,86033,82184,63613,63659
5000,Arkansas,28,"        Apparel, leather, and allied product manufacturing",119272,128871,123448,111844,106614
5000,Arkansas,29,        Paper manufacturing,737604,739401,755402,756901,745785
5000,Arkansas,30,        Printing and related support activities,184760,195932,197113,204439,217721
5000,Arkansas,31,        Petroleum and coal products manufacturing,65355,70689,68969,80774,76371
5000,Arkansas,32,        Chemical manufacturing,326062,330105,335908,312106,307121
5000,Arkansas,33,        Plastics and rubber products manufacturing,575921,586328,601501,610742,597221
5000,Arkansas,34,    Wholesale trade,2180002,2400164,2597191,2767151,2913625
5000,Arkansas,35,    Retail trade,3097236,3202823,3342632,3494026,3624125
5000,Arkansas,36,    Transportation and warehousing,2577256,2659501,2822687,2926318,2991133
5000,Arkansas,37,      Air transportation,84294,72648,68923,69181,64891
5000,Arkansas,38,      Rail transportation,(D),(D),(D),(D),(D)
5000,Arkansas,39,      Water transportation,(D),6212,6811,8027,7035
5000,Arkansas,40,      Truck transportation,1471973,1508502,1647817,1726261,1779625
5000,Arkansas,41,      Transit and ground passenger transportation,21580,21184,22164,24697,30182
5000,Arkansas,42,      Pipeline transportation,61780,61565,61291,60383,48603
5000,Arkansas,43,      Other transportation and support activities,331604,(D),(D),(D),(D)
5000,Arkansas,44,      Warehousing and storage,337508,357020,365045,356752,359851
5000,Arkansas,45,    Information,983880,1033751,1075179,1108690,1801842
5000,Arkansas,46,      Publishing industries (except Internet),(D),(D),(D),277017,291217
5000,Arkansas,47,      Motion picture and sound recording industries,26254,27823,27510,30668,31767
5000,Arkansas,48,      Broadcasting (except Internet) and telecommunications,612910,644998,687633,717891,1410580
5000,Arkansas,49,"      Data processing, hosting, and other information services",(D),(D),(D),83113,68279
5000,Arkansas,50,"    Finance, insurance, real estate, rental, and leasing",2214880,2336085,2452843,2613376,2744553
5000,Arkansas,51,      Finance and insurance,1844191,1927721,2008741,2138362,2240911
5000,Arkansas,52,"        Monetary Authorities- central bank, credit intermediation, and related services",(D),(D),(D),(D),(D)
5000,Arkansas,53,"        Securities, commodity contracts, and other financial investments and related activities",306384,325977,331115,347657,376168
5000,Arkansas,54,        Insurance carriers and related activities,657926,671318,681863,742665,764407
5000,Arkansas,55,"        Funds, trusts, and other financial vehicles",(D),(D),(D),(D),(D)
5000,Arkansas,56,      Real estate and rental and leasing,370689,408364,444103,475014,503642
5000,Arkansas,57,        Real estate,238492,261714,290586,308914,319760
5000,Arkansas,58,        Rental and leasing services and lessors of nonfinancial intangible assets,132197,146649,153516,166100,183883
