SAINC7N Wages and Salaries by NAICS Industry 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013
2000,Alaska,1200,"      Professional, scientific, and technical services",946484,1030596,1086182,1129361
2000,Alaska,1300,      Management of companies and enterprises,228412,235776,254005,248969
2000,Alaska,1400,      Administrative and support and waste management and remediation services,497067,505908,538807,539900
2000,Alaska,1401,        Administrative and support services,392894,401854,420423,431187
2000,Alaska,1402,        Waste management and remediation services,104173,104054,118384,108713
2000,Alaska,1500,      Educational services,90211,91113,94274,98118
2000,Alaska,1600,      Health care and social assistance,1817924,1960668,2091796,2182113
2000,Alaska,1601,        Ambulatory health care services,768519,837868,910938,957215
2000,Alaska,1602,        Hospitals,641974,689008,714192,741040
2000,Alaska,1603,        Nursing and residential care facilities,110261,128335,141426,151252
2000,Alaska,1604,        Social assistance,297170,305457,325240,332606
2000,Alaska,1700,"      Arts, entertainment, and recreation",93032,104842,110204,115196
2000,Alaska,1701,"        Performing arts, spectator sports, and related industries",15425,16134,15691,17081
2000,Alaska,1702,"        Museums, historical sites, and similar institutions",11123,12019,12100,12638
2000,Alaska,1703,"        Amusement, gambling, and recreation industries",66484,76689,82413,85477
2000,Alaska,1800,      Accommodation and food services,629252,667620,705820,734654
2000,Alaska,1801,        Accommodation,227233,236281,249476,258511
2000,Alaska,1802,        Food services and drinking places,402019,431339,456344,476143
2000,Alaska,1900,      Other services (except government and government enterprises),454162,461980,487594,503735
2000,Alaska,1901,        Repair and maintenance,117783,120838,119007,122887
2000,Alaska,1902,        Personal and laundry services,58024,60049,62617,63886
2000,Alaska,1903,"        Religious, grantmaking, civic, professional, and similar organizations",259786,260967,282858,292285
2000,Alaska,1904,        Private households,18569,20126,23112,24677
2000,Alaska,2000,    Government and government enterprises,5900790,6091884,6200638,6123223
2000,Alaska,2001,      Federal civilian,1207406,1228558,1207164,1125435
2000,Alaska,2002,      Military,1430483,1492980,1527476,1467870
2000,Alaska,2010,      State and local,3262901,3370346,3465998,3529918
2000,Alaska,2011,        State government,1392646,1447286,1507367,1566523
2000,Alaska,2012,        Local government,1870255,1923060,1958631,1963395
4000,Arizona,50,Wages and salaries by place of work (thousands of dollars),109158485,113496912,118948346,122598769
4000,Arizona,81,  Farm wages and salaries,380472,381998,443000,494196
4000,Arizona,82,  Nonfarm wages and salaries,108778013,113114914,118505346,122104573
4000,Arizona,90,    Private nonfarm wages and salaries,88424595,92664783,97864979,101284430
4000,Arizona,100,"      Forestry, fishing, and related activities",276746,287680,286478,288190
4000,Arizona,101,        Forestry and logging,(D),3742,(D),4210
4000,Arizona,102,"        Fishing, hunting and trapping",(D),201,(D),163
