"ID","Area","ZCTA5CE00","CLASSFP00","MTFCC00","FUNCSTAT00"
375,122.484100,"24266","B5","G6350","S"
376,32.275768,"24649","B5","G6350","S"
377,104.228462,"24224","B5","G6350","S"
378,91.408653,"24260","B5","G6350","S"
379,7.254367,"24280","B5","G6350","S"
380,39.979786,"24639","B5","G6350","S"
381,14.880724,"24646","B5","G6350","S"
382,79.300674,"23140","B5","G6350","S"
383,29.803703,"23141","B5","G6350","S"
384,62.008297,"23181","B5","G6350","S"
385,58.445091,"23089","B5","G6350","S"
386,18.211821,"23011","B5","G6350","S"
387,121.929970,"23970","B5","G6350","S"
388,136.832703,"23944","B5","G6350","S"
389,11.314298,"23952","B5","G6350","S"
390,3.535584,"22433","B5","G6350","S"
391,19.746552,"22972","B5","G6350","S"
392,116.862579,"22960","B5","G6350","S"
393,2.355839,"22957","B5","G6350","S"
394,41.566597,"22567","B5","G6350","S"
395,20.892752,"22542","B5","G6350","S"
396,46.491890,"22923","B5","G6350","S"
397,67.760277,"22508","B5","G6350","S"
398,0.099319,"24142","B5","G6350","S"
399,71.619720,"23942","B5","G6350","S"
400,92.398773,"23974","B5","G6350","S"
401,63.062172,"23954","B5","G6350","S"
402,3.740999,"23707","B5","G6350","S"
403,2.159693,"237HH","B5","G6350","S"
404,5.343146,"23704","B5","G6350","S"
405,2.629855,"23702","B5","G6350","S"
406,0.178684,"23708","B5","G6350","S"
407,7.674018,"23701","B5","G6350","S"
408,8.632548,"23703","B5","G6350","S"
409,26.443163,"23834","B5","G6350","S"
410,92.423271,"22520","B5","G6350","S"
411,158.923019,"22572","B5","G6350","S"
412,58.160046,"22460","B5","G6350","S"
413,0.026397,"22548","B5","G6350","S"
414,37.090233,"224HH","B5","G6350","S"
415,50.074745,"225HH","B5","G6350","S"
416,3.095429,"23899","B5","G6350","S"
417,45.630516,"23846","B5","G6350","S"
418,51.413754,"23883","B5","G6350","S"
419,141.590164,"23842","B5","G6350","S"
420,177.451981,"23890","B5","G6350","S"
421,120.201370,"23881","B5","G6350","S"
422,37.972942,"23839","B5","G6350","S"
423,63.736378,"22443","B5","G6350","S"
424,26.586479,"22488","B5","G6350","S"
425,36.927193,"22469","B5","G6350","S"
426,2.935284,"22529","B5","G6350","S"
427,72.171013,"24148","B5","G6350","S"
428,151.440552,"24112","B5","G6350","S"
429,0.015186,"27048","B5","G6350","S"
430,35.861927,"24530","B5","G6350","S"
431,39.034657,"24165","B5","G6350","S"
432,1.263281,"24168","B5","G6350","S"
433,98.151688,"24054","B5","G6350","S"
434,38.688583,"24102","B5","G6350","S"
435,80.607170,"24055","B5","G6350","S"
436,7.508139,"24078","B5","G6350","S"
437,11.070712,"24089","B5","G6350","S"
438,94.079826,"24073","B5","G6350","S"
439,32.543179,"24162","B5","G6350","S"
440,57.010036,"24087","B5","G6350","S"
441,134.474564,"24060","B5","G6350","S"
442,84.954048,"24216","B5","G6350","S"
443,39.758541,"24273","B5","G6350","S"
444,75.789345,"24279","B5","G6350","S"
445,0.012522,"24215","B5","G6350","S"
446,1.561661,"24285","B5","G6350","S"
447,73.722137,"24219","B5","G6350","S"
448,55.159702,"24293","B5","G6350","S"
449,27.223236,"24374","B5","G6350","S"
450,19.365498,"24322","B5","G6350","S"
451,90.572357,"24360","B5","G6350","S"
452,23.317780,"24323","B5","G6350","S"
453,6.499351,"24313","B5","G6350","S"
454,42.927971,"24324","B5","G6350","S"
455,67.338165,"24368","B5","G6350","S"
456,187.541855,"24382","B5","G6350","S"
457,216.610260,"24450","B5","G6350","S"
