ID,ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00
767,41636,B5,G6350,S
768,41669,B5,G6350,S
769,41622,B5,G6350,S
770,41602,B5,G6350,S
771,41660,B5,G6350,S
772,41645,B5,G6350,S
773,41619,B5,G6350,S
774,41603,B5,G6350,S
775,41663,B5,G6350,S
776,41601,B5,G6350,S
777,41615,B5,G6350,S
778,41666,B5,G6350,S
779,41612,B5,G6350,S
780,41647,B5,G6350,S
781,41216,B5,G6350,S
782,41651,B5,G6350,S
783,41635,B5,G6350,S
784,41616,B5,G6350,S
785,41650,B5,G6350,S
786,42712,B5,G6350,S
787,42361,B5,G6350,S
788,42762,B5,G6350,S
789,42726,B5,G6350,S
790,42349,B5,G6350,S
791,40070,B5,G6350,S
792,400HH,B5,G6350,S
793,40031,B5,G6350,S
794,40058,B5,G6350,S
795,40057,B5,G6350,S
796,40068,B5,G6350,S
797,40036,B5,G6350,S
798,40019,B5,G6350,S
799,40055,B5,G6350,S
800,40050,B5,G6350,S
801,40007,B5,G6350,S
802,42458,B5,G6350,S
803,42452,B5,G6350,S
804,42461,B5,G6350,S
805,424XX,B5,G6350,S
806,42451,B5,G6350,S
807,42457,B5,G6350,S
808,42406,B5,G6350,S
809,42462,B5,G6350,S
810,42420,B5,G6350,S
811,42459,B5,G6350,S
812,42450,B5,G6350,S
813,42078,B5,G6350,S
814,42084,B5,G6350,S
815,41121,B5,G6350,S
816,41169,B5,G6350,S
817,41175,B5,G6350,S
818,41144,B5,G6350,S
819,41183,B5,G6350,S
820,41139,B5,G6350,S
821,41141,B5,G6350,S
822,41174,B5,G6350,S
823,40865,B5,G6350,S
824,40810,B5,G6350,S
825,40854,B5,G6350,S
826,41046,B5,G6350,S
827,41086,B5,G6350,S
828,41095,B5,G6350,S
829,42729,B5,G6350,S
830,42285,B5,G6350,S
831,42207,B5,G6350,S
832,42259,B5,G6350,S
833,42210,B5,G6350,S
834,42303,B5,G6350,S
835,42378,B5,G6350,S
836,42376,B5,G6350,S
837,42348,B5,G6350,S
838,42355,B5,G6350,S
839,42366,B5,G6350,S
840,42327,B5,G6350,S
841,42301,B5,G6350,S
842,42351,B5,G6350,S
843,40472,B5,G6350,S
844,40336,B5,G6350,S
845,40385,B5,G6350,S
846,40447,B5,G6350,S
847,42757,B5,G6350,S
848,42718,B5,G6350,S
849,42214,B5,G6350,S
850,42782,B5,G6350,S
851,41171,B5,G6350,S
852,41149,B5,G6350,S
853,41472,B5,G6350,S
854,42716,B5,G6350,S
855,42746,B5,G6350,S
856,42050,B5,G6350,S
857,42041,B5,G6350,S
858,38079,B5,G6350,S
859,380HH,B5,G6350,S
860,41031,B5,G6350,S
861,42031,B5,G6350,S
862,42032,B5,G6350,S
863,41039,B5,G6350,S
864,41041,B5,G6350,S
865,41049,B5,G6350,S
866,41093,B5,G6350,S
867,41055,B5,G6350,S
868,40461,B5,G6350,S
869,40419,B5,G6350,S
870,40403,B5,G6350,S
871,40444,B5,G6350,S
872,40484,B5,G6350,S
873,40867,B5,G6350,S
874,40807,B5,G6350,S
875,40828,B5,G6350,S
876,408HH,B5,G6350,S
877,40831,B5,G6350,S
878,40870,B5,G6350,S
879,40806,B5,G6350,S
880,40819,B5,G6350,S
881,40823,B5,G6350,S
882,40847,B5,G6350,S
883,40830,B5,G6350,S
884,40808,B5,G6350,S
885,40843,B5,G6350,S
886,40863,B5,G6350,S
887,40927,B5,G6350,S
888,40820,B5,G6350,S
889,40873,B5,G6350,S
890,40824,B5,G6350,S
891,40801,B5,G6350,S
892,40855,B5,G6350,S
893,40818,B5,G6350,S
894,40849,B5,G6350,S
