,median,lower,upper,sd,year,abb
324,-0.749824834,-1.290206694,-0.331096392,0.306971142,1941,MO
325,-1.81608705,-2.219633895,-1.492169531,0.224238835,1941,MS
326,0.090069948,-0.331039015,0.46614889,0.237496341,1941,MT
327,-0.608017314,-1.176300271,-0.200633297,0.284221543,1941,NC
328,-0.107126321,-0.567704892,0.320187825,0.259876639,1941,ND
329,-0.210775894,-0.637136004,0.140486951,0.232419009,1941,NE
330,0.01954541,-0.358108574,0.3426799,0.222927306,1941,NH
331,0.761589102,0.389429539,1.141671222,0.224185625,1941,NJ
332,-0.116057166,-0.526607117,0.257239925,0.242591952,1941,NM
333,-0.274778074,-0.684964587,0.147167196,0.264057114,1941,NV
334,1.535578888,1.215552902,1.884224293,0.203921476,1941,NY
335,0.546121596,0.169253035,0.920063583,0.234611448,1941,OH
336,-0.596477544,-1.058765133,-0.163748157,0.283516424,1941,OK
337,0.196643544,-0.198452868,0.568974608,0.231442379,1941,OR
338,0.830000793,0.457389845,1.148762559,0.210474783,1941,PA
339,0.935019464,0.591846655,1.28276011,0.213266466,1941,RI
340,-0.998648018,-1.517275906,-0.495851668,0.299295082,1941,SC
341,-0.349245681,-0.793383023,0.034138083,0.248887128,1941,SD
342,-1.082521036,-1.547271095,-0.610615062,0.288628913,1941,TN
343,-0.738306543,-1.258366734,-0.257504584,0.300977986,1941,TX
344,0.516409057,0.189909234,0.878084631,0.2183869,1941,UT
345,-1.213355381,-1.626345972,-0.710951723,0.274670462,1941,VA
346,-0.336159926,-0.775763251,0.040485347,0.25154558,1941,VT
347,0.665744408,0.279646898,1.04774323,0.239590177,1941,WA
348,0.712893452,0.353252219,1.084757555,0.230469643,1941,WI
349,-0.434838739,-0.914096707,-0.009398964,0.268420042,1941,WV
350,-0.70126075,-1.197587852,-0.238028732,0.295316565,1941,WY
351,NA,NA,NA,NA,1942,AK
352,-0.860517928,-1.319627734,-0.360602888,0.290556367,1942,AL
353,-1.061931091,-1.521580193,-0.552501711,0.288400011,1942,AR
