room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
16810544,89201263,Private room,Brentwood,0,0,3,1,85,NA,38.924904,-76.962173
16810557,26154325,Private room,Catholic University-Brookland,0,0,2,1,120,NA,38.938158,-77.02128
16810844,88309147,Entire home/apt,Brentwood,0,0,6,2,100,NA,38.920244,-76.987132
16811126,111806199,Entire home/apt,Capitol Hill,0,0,6,3,3000,NA,38.890515,-76.999338
16811325,57088010,Entire home/apt,Dupont Circle,0,0,3,1,400,NA,38.911133,-77.047311
16811541,111810504,Entire home/apt,Georgetown,0,0,3,2,300,NA,38.911909,-77.065056
16811853,76451267,Private room,Shaw,0,0,2,1,100,NA,38.90863,-77.012411
16812232,111600145,Private room,Foggy Bottom,0,0,2,1,400,NA,38.901028,-77.054379
16812269,111818050,Entire home/apt,Capitol Hill,0,0,6,2,500,NA,38.875553,-77.002139
16812286,100624009,Entire home/apt,Chevy Chase,0,0,2,0,450,NA,38.952494,-77.070403
16812290,111818200,Private room,Capitol Hill,0,0,4,1,400,NA,38.9012,-77.003714
16812313,4042615,Entire home/apt,Capitol Hill,0,0,6,3,120,NA,38.900692,-77.000593
16812574,77659601,Entire home/apt,Dupont Circle,0,0,2,0,300,NA,38.907278,-77.047846
16812743,10555184,Private room,Columbia Heights,0,0,5,1,99,NA,38.925037,-77.025241
16812781,103456349,Entire home/apt,Capitol Hill,0,0,2,1,80,NA,38.878516,-76.984793
16812911,8811189,Private room,Downtown,0,0,2,1,200,NA,38.894854,-77.014067
16813331,17055503,Entire home/apt,Capitol Hill,0,0,10,3,500,NA,38.884142,-76.992813
16813584,105214238,Entire home/apt,Fort Totten-Upper Northeast,0,0,1,1,450,NA,38.962926,-77.004799
16813694,53642827,Private room,Shaw,0,0,2,1,100,NA,38.906388,-77.017578
16813891,111832674,Entire home/apt,Catholic University-Brookland,0,0,10,4,390,NA,38.93696,-76.987417
16813904,11473618,Entire home/apt,Capitol Hill,0,0,4,1,600,NA,38.891793,-76.989391
16813970,111829583,Entire home/apt,Anacostia,0,0,8,4,600,NA,38.859409,-76.968948
16814267,111841967,Entire home/apt,Logan Circle,0,0,2,1,500,NA,38.906284,-77.029141
16814361,59174036,Private room,Brentwood,0,0,2,0,150,NA,38.922206,-76.987322
16814417,13131928,Entire home/apt,Downtown,0,0,2,0,350,NA,38.904315,-77.030983
16814573,20590167,Entire home/apt,Capitol Hill,0,0,4,1,300,NA,38.883307,-76.990038
16814731,3498609,Entire home/apt,Woodley Park,0,0,2,0,375,NA,38.929984,-77.055712
16814989,110051006,Entire home/apt,Capitol Hill,0,0,7,2,200,NA,38.894366,-76.998307
16815016,86943828,Private room,Fort Totten-Upper Northeast,0,0,2,1,39,NA,38.965182,-77.021337
16815085,13170020,Entire home/apt,Mount Vernon Square,0,0,5,1,400,NA,38.905591,-77.025785
16815520,89566128,Entire home/apt,Columbia Heights,0,0,2,0,250,NA,38.923044,-77.035495
16815528,104464656,Entire home/apt,Foggy Bottom,0,0,8,4,2750,NA,38.902607,-77.050013
16816034,51358472,Entire home/apt,Mount Pleasant,0,0,4,0,300,NA,38.933355,-77.039854
16819398,32621765,Entire home/apt,Adams Morgan,0,0,2,1,85,NA,38.924489,-77.038476
16819707,29191487,Entire home/apt,Capitol Hill,0,0,4,0,275,NA,38.870344,-77.007997
16820068,639308,Private room,Anacostia,0,0,2,1,250,NA,38.864351,-76.975057
16820215,419492,Private room,Catholic University-Brookland,0,0,3,1,249,NA,38.932976,-76.987119
16820468,74628705,Entire home/apt,U Street Corridor,0,0,2,1,200,NA,38.918951,-77.028201
16820669,639308,Private room,Anacostia,0,0,2,1,150,NA,38.86448,-76.974861
16821199,59954602,Entire home/apt,Georgetown,0,0,2,0,350,NA,38.907548,-77.058407
16821423,111914877,Entire home/apt,Capitol Hill,0,0,6,1,150,NA,38.903508,-76.983727
16821471,23379104,Private room,Columbia Heights,0,0,2,1,500,NA,38.931554,-77.030828
16821552,20796158,Entire home/apt,South West,9,5,4,2,89,NA,38.864896,-77.012769
16821942,8716148,Entire home/apt,Dupont Circle,0,0,3,1,250,NA,38.910143,-77.038771
16821958,12895831,Private room,Chevy Chase,0,0,2,1,50,NA,38.949228,-77.069741
16822394,96356415,Entire home/apt,Brentwood,0,0,2,1,90,NA,38.92269,-76.987154
16822689,71511900,Private room,U Street Corridor,0,0,2,1,325,NA,38.917685,-77.025268
16822873,38430633,Private room,Anacostia,0,0,2,1,80,NA,38.888839,-76.930288
16823040,42854574,Private room,Dupont Circle,0,0,2,1,100,NA,38.91059,-77.042871
16823093,106292155,Entire home/apt,Adams Morgan,0,0,6,2,1600,NA,38.921404,-77.040732
16823874,39121142,Entire home/apt,Columbia Heights,0,0,6,2,202,NA,38.927133,-77.024631
16823989,99867312,Shared room,Capitol Hill,0,0,2,1,45,NA,38.903677,-76.995772
16824189,36229833,Private room,Downtown,0,0,2,1,300,NA,38.899826,-77.016337
16824744,70394864,Entire home/apt,Dupont Circle,0,0,2,1,105,NA,38.910124,-77.046112
16825013,47465344,Entire home/apt,Mount Vernon Square,0,0,5,2,1000,NA,38.904774,-77.017031
16825092,64793540,Private room,Georgetown,0,0,2,1,63,NA,38.915643,-77.070716
16825236,64898662,Entire home/apt,Columbia Heights,0,0,2,1,325,NA,38.925284,-77.031065
16825268,81126966,Private room,Brentwood,0,0,4,1,275,NA,38.916012,-77.004328
16825770,72416514,Entire home/apt,Petworth,0,0,3,1,235,NA,38.939725,-77.037816
16825839,32587430,Private room,Adams Morgan,0,0,2,1,120,NA,38.926843,-77.042614
16826484,111964840,Entire home/apt,Anacostia,0,0,5,3,650,NA,38.829508,-76.991401
16826721,111623671,Entire home/apt,Columbia Heights,0,0,3,0,290,NA,38.920508,-77.032513
16826800,111968249,Private room,Capitol Hill,0,0,3,0,250,NA,38.905665,-76.986058
